Time of Day,Temperature,Humidity,CO2_InfraredSensor,CO2_ElectroChemicalSensor,MetalOxideSensor_Unit1,MetalOxideSensor_Unit2,MetalOxideSensor_Unit3,MetalOxideSensor_Unit4,CO_GasSensor,Activity Level
1,19.63,53.83,125.49,571.09,478.55,735.85,497.59,565.05,2,Low Activity
1,19.66,53.69,126.34,575.79,491.96,740.28,584.0,557.08,1,Low Activity
0,20.95,54.12,119.34,556.53,437.5,718.34,676.67,612.62,2,Low Activity
1,20.1,50.48,113.5,578.93,515.14,744.02,676.15,600.22,1,High Activity
1,19.89,48.42,92.77,613.65,535.66,770.27,720.27,625.73,1,Low Activity
2,19.82,47.71,79.49,616.35,557.93,779.32,738.88,664.89,1,Low Activity
0,20.04,48.42,118.29,582.62,474.78,736.89,554.95,628.88,1,Low Activity
3,23.51,47.31,124.6,543.99,492.96,730.9,678.96,625.98,1,High Activity
2,18.18,53.01,115.14,596.15,462.04,717.22,671.184,589.89,1,Moderate Activity
2,19.51,49.93,85.29,578.93,544.45,766.13,717.66,636.11,0,Moderate Activity
0,21.07,56.02,128.95,546.03,444.44,697.6,669.06,597.15,1,Low Activity
1,18.74,52.3,113.24,573.39,433.39,708.92,667.26,592.06,3,Low Activity
2,19.96,50.99,86.21,618.52,524.72,751.8,694.86,609.13,1,Low Activity
2,19.55,51.88,88.88,617.46,538.79,752.68,705.41,616.02,1,Moderate Activity
2,19.5,51.95,84.58,617.32,534.91,767.2,717.77,617.51,1,Moderate Activity
2,19.46,51.88,81.85,616.55,538.97,764.22,702.87,625.09,1,Low Activity
3,23.26,48.79,114.26,572.57,469.29,721.55,670.19,612.11,2,Low Activity
2,20.63,49.49,82.28,614.91,525.31,762.74,710.6,624.83,1,Moderate Activity
2,17.92,44.65,88.62,599.76,531.04,738.88,683.91,604.78,0,High Activity
2,20.52,50.58,88.13,614.97,506.68,755.73,689.99,611.74,1,Moderate Activity
1,17.95,54.83,103.53,598.46,517.84,757.38,728.83,663.53,1,Moderate Activity
2,17.35,41.19,55.67,629.42,593.51,799.92,773.49,723.56,0,Moderate Activity
1,19.56,56.21,137.55,556.54,431.28,692.18,462.17,572.4,2,High Activity
2,19.75,50.36,82.03,620.5,430.59,767.14,716.49,651.7,1,High Activity
2,20.68,48.23,82.12,618.28,428.66,764.53,718.55,637.9,1,Moderate Activity
2,18.15,48.2,87.19,606.33,468.19,749.18,709.37,642.44,0,Moderate Activity
2,20.46,48.68,86.69,621.53,365.94,757.07,719.06,642.79,1,High Activity
3,24.11,49.15,133.51,564.29,407.51,676.11,588.58,541.95,2,Low Activity
2,20.66,49.07,74.41,620.22,399.02,860.93,692.556,624.88,1,High Activity
2,20.19,50.41,78.1,615.04,381.21,754.65,711.11,629.96,1,Moderate Activity
2,20.43,50.1,83.18,619.46,386.88,757.15,839.1,631.02,1,High Activity
2,20.62,49.78,80.43,578.93,411.58,756.03,701.61,617.47,1,High Activity
0,21.08,45.38,109.49,582.88,459.28,721.68,678.77,610.88,2,Moderate Activity
2,20.17,51.22,93.45,605.92,359.63,746.03,651.91,616.68,1,Low Activity
2,20.81,49.83,88.83,616.14,396.34,751.23,706.258,622.31,1,Moderate Activity
2,20.19,51.5,89.47,620.36,405.07,747.38,698.48,621.0,1,Low Activity
2,20.11,51.83,91.14,622.06,400.63,747.91,705.75,627.27,1,Low Activity
2,18.02,53.55,109.65,594.26,469.7,613.95,695.5,627.47,1,Low Activity
1,18.91,51.67,105.63,596.53,486.45,747.04,712.4,628.5,1,High Activity
2,22.07,51.19,114.27,571.45,387.86,695.23,627.01,569.68,2,Low Activity
2,19.66,53.02,88.56,618.0,393.85,600.62,691.95,615.95,1,Moderate Activity
1,17.12,51.58,100.58,596.45,511.01,729.41,700.238,643.66,1,High Activity
1,19.47,53.49,101.71,578.93,459.39,716.73,670.01,596.34,1,Moderate Activity
1,19.26,54.59,118.8,573.59,491.29,744.23,698.292,632.57,1,Moderate Activity
2,19.25,54.18,85.51,614.89,397.63,742.96,704.25,630.19,1,High Activity
2,19.36,54.05,86.92,578.93,416.65,760.61,693.92,623.69,1,Low Activity
2,20.21,52.43,92.17,611.77,470.91,745.08,696.6899999999999,625.57,1,Low Activity
2,20.88,51.1,87.69,613.55,466.68,739.93,691.75,631.09,1,Low Activity
2,21.23,50.64,93.09,613.1,469.69,742.03,695.07,620.48,1,Low Activity
2,21.58,50.26,85.43,617.12,470.03,747.22,695.23,603.93,1,Low Activity
2,21.09,52.71,96.59,610.21,487.57,742.8,699.0,604.73,1,Moderate Activity
2,21.75,51.55,95.36,610.41,477.09,746.5,689.88,610.47,1,Moderate Activity
3,20.0,52.64,100.35,581.9,462.31,725.21,690.52,625.46,1,Moderate Activity
2,21.93,52.26,100.19,606.86,481.42,731.94,688.96,612.21,1,Moderate Activity
3,22.19,51.8,98.82,606.84,473.88,739.22,681.8,606.06,1,High Activity
3,22.21,51.93,96.84,578.93,473.49,737.88,684.76,608.71,1,High Activity
1,19.08,56.27,140.15,573.86,468.62,725.1,679.71,610.22,1,High Activity
3,22.38,51.84,104.24,609.73,473.94,735.36,676.31,608.42,1,Low Activity
1,19.81,58.73,121.89,550.02,497.95,693.24,600.78,541.39,2,Low Activity
