Time of Day,Temperature,Humidity,CO2_InfraredSensor,CO2_ElectroChemicalSensor,MetalOxideSensor_Unit1,MetalOxideSensor_Unit2,MetalOxideSensor_Unit3,MetalOxideSensor_Unit4,CO_GasSensor,Activity Level,metal_oxide_mean,metal_oxide_std,CO2_mean,CO2_diff
1,19.63,53.83,125.49,571.09,478.55,735.85,497.59,565.05,2,Low Activity,569.26,117.09660570087705,348.29,-445.6
1,19.66,53.69,126.34,575.79,491.96,740.28,584.0,557.08,1,Low Activity,593.33,105.31111179104826,351.065,-449.44999999999993
0,20.95,54.12,119.34,556.53,437.5,718.34,676.67,612.62,2,Low Activity,611.2825,123.74567962155287,337.935,-437.18999999999994
1,20.1,50.48,113.5,578.93,515.14,744.02,676.15,600.22,1,High Activity,633.8824999999999,98.57274078060323,346.215,-465.42999999999995
1,19.89,48.42,92.77,613.65,535.66,770.27,720.27,625.73,1,Low Activity,662.9825,103.90898754037914,353.21,-520.88
2,19.82,47.71,79.49,616.35,557.93,779.32,738.88,664.89,1,Low Activity,685.255,97.21154543914356,347.92,-536.86
0,20.04,48.42,118.29,582.62,474.78,736.89,554.95,628.88,1,Low Activity,598.875,111.47109475853668,350.455,-464.33
3,23.51,47.31,124.6,543.99,492.96,730.9,678.96,625.98,1,High Activity,632.2,102.23282838697166,334.295,-419.39
2,18.18,53.01,115.14,596.15,462.04,717.22,671.184,589.89,1,Moderate Activity,610.0835,111.85728417199003,355.645,-481.01
2,19.51,49.93,85.29,578.93,544.45,766.13,717.66,636.11,0,Moderate Activity,666.0875,97.23263593910565,332.10999999999996,-493.63999999999993
0,21.07,56.02,128.95,546.03,444.44,697.6,669.06,597.15,1,Low Activity,602.0625,113.26232688615693,337.49,-417.08
1,18.74,52.3,113.24,573.39,433.39,708.92,667.26,592.06,3,Low Activity,600.4075,121.39295074948407,343.315,-460.15
2,19.96,50.99,86.21,618.52,524.72,751.8,694.86,609.13,1,Low Activity,645.1275,99.40846690129901,352.365,-532.31
2,19.55,51.88,88.88,617.46,538.79,752.68,705.41,616.02,1,Moderate Activity,653.2249999999999,95.03359493708878,353.17,-528.58
2,19.5,51.95,84.58,617.32,534.91,767.2,717.77,617.51,1,Moderate Activity,659.3475000000001,103.73109157014275,350.95000000000005,-532.74
2,19.46,51.88,81.85,616.55,538.97,764.22,702.87,625.09,1,Low Activity,657.7875,97.54833618092451,349.2,-534.6999999999999
3,23.26,48.79,114.26,572.57,469.29,721.55,670.19,612.11,2,Low Activity,618.285,108.92723855859009,343.415,-458.31000000000006
2,20.63,49.49,82.28,614.91,525.31,762.74,710.6,624.83,1,Moderate Activity,655.87,103.96468150290274,348.59499999999997,-532.63
2,17.92,44.65,88.62,599.76,531.04,738.88,683.91,604.78,0,High Activity,639.6524999999999,90.95344867018514,344.19,-511.14
2,20.52,50.58,88.13,614.97,506.68,755.73,689.99,611.74,1,Moderate Activity,641.0350000000001,107.17742004110131,351.55,-526.84
1,17.95,54.83,103.53,598.46,517.84,757.38,728.83,663.53,1,Moderate Activity,666.895,106.85222771036018,350.995,-494.93000000000006
2,17.35,41.19,55.67,629.42,593.51,799.92,773.49,723.56,0,Moderate Activity,722.62,91.71209044250018,342.54499999999996,-573.75
1,19.56,56.21,137.55,556.54,431.28,692.18,462.17,572.4,2,High Activity,539.5075,118.44139123774816,347.04499999999996,-418.98999999999995
2,19.75,50.36,82.03,620.5,430.59,767.14,716.49,651.7,1,High Activity,641.48,148.31944826398637,351.265,-538.47
2,20.68,48.23,82.12,618.28,428.66,764.53,718.55,637.9,1,Moderate Activity,637.41,148.68310439768644,350.2,-536.16
2,18.15,48.2,87.19,606.33,468.19,749.18,709.37,642.44,0,Moderate Activity,642.295,124.14511790642432,346.76,-519.1400000000001
2,20.46,48.68,86.69,621.53,365.94,757.07,719.06,642.79,1,High Activity,621.2149999999999,176.6927948917744,354.11,-534.8399999999999
