Time of Day,Temperature,Humidity,CO2_InfraredSensor,CO2_ElectroChemicalSensor,MetalOxideSensor_Unit1,MetalOxideSensor_Unit2,MetalOxideSensor_Unit3,MetalOxideSensor_Unit4,CO_GasSensor,Session ID,HVAC Operation Mode,Ambient Light Level,Activity Level
morning,19.63,53.83,125.49,571.09,478.55,735.85,497.59,565.05,medium,7241,off,very_dim,Low Activity
morning,19.66,53.69,126.34,575.79,491.96,740.28,,557.08,low,7241,ventilation_only,bright,Low Activity
night,20.95,54.12,119.34,556.53,437.5,718.34,,612.62,medium,9385,off,,Low Activity
morning,20.1,50.48,113.5,,515.14,744.02,676.15,600.22,low,7241,eco_mode,very_bright,High Activity
morning,19.89,48.42,92.77,613.65,535.66,770.27,720.27,625.73,low,7241,Heating_active,moderate,Low Activity
afternoon,19.82,47.71,79.49,616.35,557.93,779.32,738.88,664.89,low,7241,ventilation_only,very_bright,Low Activity
night,20.04,48.42,118.29,582.62,474.78,736.89,554.95,628.88,low,6431,heating_active,bright,Low Activity
evening,23.51,47.31,124.6,543.99,492.96,730.9,678.96,625.98,low,2586,maintenance_mode,,High Activity
afternoon,292.59,47.92,74.1,624.58,564.75,798.29,753.47,674.28,extremely low,7241,maintenance_mode,very_bright,Low Activity
night,19.81,49.52,119.96,,464.83,737.96,687.71,622.84,,2105,ventilation_only,bright,Low Activity
afternoon,19.19,49.51,78.75,619.23,579.92,781.56,752.12,676.7,,7241,cooling_active,bright,Moderate Activity
afternoon,19.71,48.68,80.16,615.97,575.49,780.08,732.35,667.93,,7241,eco_mode,,Moderate Activity
afternoon,18.18,53.01,115.14,596.15,462.04,717.22,,589.89,low,2105,ventilation_only,very_bright,Moderate Activity
afternoon,19.51,49.93,85.29,,544.45,766.13,717.66,636.11,extremely low,7241,eco_mode,very_bright,Moderate Activity
night,21.07,56.02,128.95,546.03,444.44,697.6,669.06,597.15,low,3592,cooling_active,,Low Activity
morning,18.53,47.82,80.15,590.7,596.65,765.69,750.3,700.08,,1903,heating_active,very_bright,Low Activity
afternoon,19.26,51.57,86.13,618.58,538.61,770.22,,622.5,,7241,cooling_active,dim,ModerateActivity
afternoon,19.73,-18.66,91.74,619.34,527.87,761.42,,618.39,,7241,Heating_active,bright,High Activity
morning,18.74,52.3,113.24,573.39,433.39,708.92,667.26,592.06,high,5172,heating_active,bright,Low Activity
afternoon,19.57,51.23,11.84,611.56,537.71,751.67,709.82,621.49,extremely low,7241,maintenance_mode,very_bright,Moderate Activity
evening,21.53,46.69,99.64,601.59,510.79,848.67,699.65,642.66,,3418,Eco_Mode,moderate,Moderate Activity
afternoon,19.96,50.99,86.21,618.52,524.72,751.8,694.86,609.13,low,7241,eco_mode,moderate,Low Activity
afternoon,19.55,51.88,88.88,617.46,538.79,752.68,705.41,616.02,low,7241,eco_mode,bright,Moderate Activity
morning,292.4,54.37,115.14,574.75,496.94,742.15,,638.83,low,1826,ventilation_only,very_bright,Moderate Activity
afternoon,19.5,51.95,84.58,617.32,534.91,767.2,717.77,617.51,low,7241,eco_mode,very_bright,ModerateActivity
